#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m]
1403638129141268736,4.6148379489929052,-1.8009452070989009,0.68650434352911704
1403638129192268800,4.6147999104192019,-1.801040816211162,0.68650022576162395
1403638129290268928,4.6149647676108936,-1.80074983752938,0.68679133499582701
1403638129342268672,4.6143616961116249,-1.7999058320698329,0.68767380621622398
1403638129393268736,4.6136151655206037,-1.7996179131618419,0.68897486039486
1403638129442268928,4.6135983117678432,-1.8006283491056501,0.69112456818618695
1403638129493268736,4.615114778567575,-1.803770570979961,0.69437266879580495
1403638129543268864,4.6198180473102921,-1.8103452859213609,0.69867756973430895
1403638129640268800,4.6232454490851387,-1.81970979697558,0.70833641811841397
1403638129739268864,4.6260177543648444,-1.8163418558616229,0.71684265805571901
1403638129794268928,4.6265027117046094,-1.8114991814786261,0.72134990050944303
1403638129843268864,4.6220606371769044,-1.805657667109491,0.72659930885498702
1403638129894268672,4.6208855445964909,-1.8027537885142031,0.73229946558139902
1403638129943268864,4.6208177282125211,-1.802692434448675,0.73830804457492605
1403638130043268864,4.6215327047958663,-1.801914169962989,0.75414274312344998
1403638130140268800,4.6219216259414564,-1.7964333344806409,0.77730163045357603
1403638130190268672,4.6217449728761553,-1.7946263788403201,0.79264119284739898
1403638130241268992,4.6212399403491586,-1.7944045229399419,0.81023158172573695
1403638130291268864,4.6203772890149946,-1.79523204508316,0.82861338186783295
1403638130341268736,4.6206462776576007,-1.796158750154818,0.84812483756250001
1403638130391268608,4.6214064237894528,-1.795701025191625,0.86788994105108797
1403638130441268992,4.6214991465074764,-1.794126128163007,0.88813446608395596
1403638130493268736,4.6214567711758949,-1.79286190816879,0.90894706727754504
1403638130542268672,4.6215964441571407,-1.793586633280625,0.92948400670614695
1403638130592268800,4.6225218985047389,-1.795095195454105,0.95087318460352199
1403638130643268864,4.6226217827615441,-1.7955052333252941,0.97161410350494304
1403638130690268672,4.6219793036124672,-1.7944586178768189,0.991104962946735
1403638130794268928,4.6194811438971399,-1.789823466082997,1.0320351015508831
1403638130844268800,4.6183077881273409,-1.7894074476758,1.0511446603112291
1403638130895268864,4.617497691207272,-1.7906542692460241,1.0703484609135989
1403638130942268928,4.6173144883842703,-1.792546909953409,1.0882123000340951
1403638131040268800,4.619474218161538,-1.7970036911244249,1.121102158366637
1403638131095268608,4.6200096766246714,-1.798638991590521,1.135670200376363
1403638131140268800,4.6198237966840896,-1.8009092377963789,1.144638483122026
1403638131192268800,4.6187806249348498,-1.8046520115542941,1.1501079624884629
1403638131240268800,4.6182447456441542,-1.8088755449700979,1.1506349891882111
1403638131591268864,4.6200487374495651,-1.801696379811685,1.0744905624520551
1403638131692268800,4.6188829422448432,-1.8044226747602941,1.0397066492434519
1403638131742268928,4.6186715973641936,-1.8057110424952829,1.021360295491043
1403638131792268800,4.6181869878414492,-1.806926286915681,1.0008859097464491
1403638131892268800,4.6180389781576654,-1.809446563502644,0.96033823860622602
1403638131942268928,4.6178707659309897,-1.811436576680338,0.93828202211836598
1403638131994268928,4.6156334545879183,-1.8124758848119791,0.91484665554310196
1403638132043268864,4.6171045965667341,-1.8149545910848339,0.89189843010443903
1403638132092268800,4.6159516196969488,-1.8162512002185109,0.87093589857873499
1403638132143268864,4.6146415138506729,-1.8178440752248251,0.85036093443554195
1403638132193268736,4.6138853964000761,-1.818816805706293,0.83255401572873899
1403638132243268608,4.6132449092328693,-1.8184927613068349,0.81986611768752904
1403638132293268992,4.6126465174148006,-1.8171590557988111,0.81228515155200198
1403638132343268864,4.6130441643280857,-1.8159316677347841,0.81171055530983705
1403638132842268672,4.609911601438303,-1.830140948395556,1.0404879498206869
1403638132940268800,4.610918250108587,-1.8260249236917689,1.079186129139897
1403638132994268928,4.6086299693055892,-1.8217287249800089,1.0949004449015229
1403638133042268672,4.6052019045034047,-1.8188916843778169,1.1046231923854639
1403638133091268864,4.6013073899057044,-1.819046919773837,1.110267588293026
1403638133141268736,4.5978314758519314,-1.81986314773253,1.111250221884361
1403638133191268864,4.5968306050682504,-1.8217656728437801,1.108335884482756
1403638133341268736,4.6239721292533158,-1.832179908585795,1.0833772098741381
1403638133491268864,4.6360220341587164,-1.843018292576484,1.050370579222671
1403638133540268800,4.6521047194417697,-1.853878347509371,1.0380387916279841
1403638133594268672,4.6621694669014548,-1.863359078992342,1.0252012211333661
1403638133640268800,4.6740747467086141,-1.8740932741353209,1.0144042703985641
1403638133740268800,4.6993605723146024,-1.9028422319078,0.99426905013573696
1403638133793268992,4.7118144190488387,-1.9204033193618,0.98483320057483803
1403638133840268800,4.7244577911333234,-1.937689479616526,0.97645473074656597
1403638133894268672,4.7494311996911787,-1.961333111579626,0.96596092262123201
1403638133940268800,4.7585410902860321,-1.9766344879469271,0.95821040823746995
1403638133991268864,4.7655153819081564,-1.991466020162503,0.94941872625842105
1403638134042268672,4.7715179874563747,-2.0032768794906199,0.94044225565244399
1403638134091268864,4.7787860379099394,-2.0121362976862791,0.93188550210438204
